X5 X1 X2
GM_157 GM_157 64.1122153638519
GM_160 GM_160 107.422832313212
GM_162 GM_162 68.9053915169539
GM_165 GM_165 -67.4878792740728
GM_170 GM_170 32.7038043541023
GM_175 GM_175 -77.9264078631873
GM_179 GM_179 24.7353829443434
GM_182 GM_182 3.42551931847411
GM_184 GM_184 -92.7131117639289
GM_185 GM_185 46.0152719236886
GM_186 GM_186 28.4260547545988
GM_188 GM_188 -36.7803165378522
GM_190 GM_190 17.0725531259599
GM_191 GM_191 131.955247393314
GM_192 GM_192 2.69348846132939
GM_196 GM_196 32.9276364599722
GM_200 GM_200 79.3473569108346
GM_201 GM_201 112.956682499045
GM_204 GM_204 -21.3150459988072
GM_205 GM_205 -89.3846809473951
GM_206 GM_206 -42.3203849433151
GM_209 GM_209 96.6030136385095
GM_215 GM_215 -146.551400062412
GM_218 GM_218 -122.651019141083
GM_220 GM_220 183.127747898477
GM_223 GM_223 -199.262005426576
GM_226 GM_226 14.6859601768563
GM_227 GM_227 -27.0510313745581
GM_231 GM_231 45.2792507733965
GM_233 GM_233 -10.5191682148594
GM_236 GM_236 -37.7085251651151
GM_240 GM_240 9.56697706853514
GM_241 GM_241 21.2993792319311
GM_243 GM_243 32.7178666598627
GM_249 GM_249 -118.00631203471
GM_255 GM_255 37.6917523214811
GM_259 GM_259 -224.366607831021
GM_263 GM_263 37.4181851164796
GM_264 GM_264 78.5660656924345
GM_266 GM_266 -78.4162517919023
GM_271 GM_271 0.579163683953511
GM_272 GM_272 32.1868456055395
GM_274 GM_274 99.739730022876
GM_275 GM_275 90.3827538783528
GM_276 GM_276 20.6884035151788
GM_277 GM_277 -71.9299177721607
GM_278 GM_278 -33.960347328294
GM_279 GM_279 104.521512098875
GM_280 GM_280 -58.8644738494091
GM_281 GM_281 95.0574542661503
GM_282 GM_282 69.6871787175864
GM_283 GM_283 -85.632825015182
GM_284 GM_284 -52.602847572556
GM_285 GM_285 -119.284031842146
GM_286 GM_286 -38.1405781548827
GM_287 GM_287 -33.7323156318785
GM_290 GM_290 54.4289035564406
GM_273 GM_273 -167.451834236658
GM_155 GM_155 -58.1857477112811
GM_158 GM_158 116.604783130596
GM_163 GM_163 1.222660447222
GM_164 GM_164 30.2380718361356
GM_166 GM_166 -119.930312496282
GM_167 GM_167 4.84213324231209
GM_169 GM_169 83.5991873817226
GM_171 GM_171 79.4132453512045
GM_172 GM_172 29.2150469510183
GM_176 GM_176 40.9815805903005
GM_180 GM_180 -45.9092757301695
GM_181 GM_181 161.46966625378
GM_183 GM_183 35.964250829668
GM_189 GM_189 -52.1393840489601
GM_194 GM_194 7.67185587325563
GM_198 GM_198 -104.406607084526
GM_203 GM_203 -75.8083915158852
GM_207 GM_207 -55.2727382463228
GM_213 GM_213 -53.3952992585982
GM_216 GM_216 87.8288067864991
GM_219 GM_219 50.3761362798981
GM_221 GM_221 12.4089480429788
GM_222 GM_222 131.146526174348
GM_224 GM_224 26.322391243299
GM_225 GM_225 4.25506650116624
GM_228 GM_228 -19.0472926201859
GM_229 GM_229 -129.513290478814
GM_232 GM_232 -38.189058250567
GM_234 GM_234 4.96920389481495
GM_235 GM_235 -60.6322526579995
GM_239 GM_239 19.0427968119652
GM_244 GM_244 47.5515166259107
GM_246 GM_246 -27.6823463175641
GM_247 GM_247 128.388037778237
GM_248 GM_248 -86.2681770977219
