X5 X1 X4
GM_157 GM_157 55.0155207099822
GM_160 GM_160 81.6721424966834
GM_162 GM_162 30.6041229291454
GM_165 GM_165 -87.9701692775473
GM_170 GM_170 25.1728868149681
GM_175 GM_175 13.0589121001305
GM_179 GM_179 -49.8466125488804
GM_182 GM_182 27.9679760286848
GM_184 GM_184 -58.6313896421338
GM_185 GM_185 -79.5432896958806
GM_186 GM_186 85.6241257837435
GM_188 GM_188 11.5123585734769
GM_190 GM_190 36.423902734609
GM_191 GM_191 119.126683262848
GM_192 GM_192 99.0219386096058
GM_196 GM_196 5.57742889595411
GM_200 GM_200 -13.5964820518126
GM_201 GM_201 -98.9793185194636
GM_204 GM_204 8.36915061998224
GM_205 GM_205 -34.014574829458
GM_206 GM_206 7.95747833619633
GM_209 GM_209 -72.9324296049913
GM_215 GM_215 -59.1920508283836
GM_218 GM_218 47.2260502756344
GM_220 GM_220 -19.0827780580173
GM_223 GM_223 -121.690395301381
GM_226 GM_226 -155.433246854997
GM_227 GM_227 138.13015991888
GM_231 GM_231 -176.137009897455
GM_233 GM_233 -51.0543350593244
GM_236 GM_236 20.8645583032796
GM_240 GM_240 85.7946635986011
GM_241 GM_241 79.6426582809851
GM_243 GM_243 -82.9390530262423
GM_249 GM_249 160.334399398167
GM_255 GM_255 -60.724435457365
GM_259 GM_259 134.254348204506
GM_263 GM_263 11.459686126799
GM_264 GM_264 76.0005895226504
GM_266 GM_266 56.3928767110914
GM_271 GM_271 -79.4941266285563
GM_272 GM_272 -47.484280893244
GM_274 GM_274 140.294737973288
GM_275 GM_275 -42.5891268748384
GM_276 GM_276 -122.210532692787
GM_277 GM_277 162.66108536339
GM_278 GM_278 -115.991161640169
GM_279 GM_279 20.9435381142211
GM_280 GM_280 26.5970522595838
GM_281 GM_281 -18.290689386686
GM_282 GM_282 -131.747054944098
GM_283 GM_283 -67.2232100036452
GM_284 GM_284 -39.3510310456965
GM_285 GM_285 97.5516398141929
GM_286 GM_286 -27.5491723529905
GM_287 GM_287 -133.166788190005
GM_290 GM_290 67.7231232185219
GM_273 GM_273 -13.6161999287294
GM_155 GM_155 99.3451531083575
GM_158 GM_158 -42.5342103425081
GM_163 GM_163 -6.43865032094623
GM_164 GM_164 -7.42522523265288
GM_166 GM_166 13.9648598157138
GM_167 GM_167 -114.569874694101
GM_169 GM_169 -5.0780176470059
GM_171 GM_171 -55.4502976317489
GM_172 GM_172 28.6486080958621
GM_176 GM_176 -25.2764822342736
GM_180 GM_180 -55.807527166359
GM_181 GM_181 4.40924118895913
GM_183 GM_183 -0.881393829987699
GM_189 GM_189 -83.2770949570974
GM_194 GM_194 26.6346137586608
GM_198 GM_198 -123.186088438152
GM_203 GM_203 -57.5875266722944
GM_207 GM_207 -1.0157316657829
GM_213 GM_213 83.8259922139719
GM_216 GM_216 57.7715141785188
GM_219 GM_219 12.0331461106439
GM_221 GM_221 -0.480140900966354
GM_222 GM_222 104.582173242216
GM_224 GM_224 27.8992165852707
GM_225 GM_225 36.5568577640032
GM_228 GM_228 8.2907171366718
GM_229 GM_229 110.994778200323
GM_232 GM_232 -171.261924027467
GM_234 GM_234 109.942350845803
GM_235 GM_235 108.533735028365
GM_239 GM_239 88.8946408209818
GM_244 GM_244 24.9461896729449
GM_246 GM_246 -87.7723808011431
GM_247 GM_247 43.3764070670557
GM_248 GM_248 -25.1024780168194
